id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_hotel,jumlah_hotel,satuan,tahun
57,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BINTANG 2,0,UNIT,2014
58,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BINTANG 3,0,UNIT,2014
59,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BINTANG 4,0,UNIT,2014
60,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BINTANG 5,0,UNIT,2014
61,32,JAWA BARAT,3213,KABUPATEN SUBANG,BINTANG 1,0,UNIT,2014
62,32,JAWA BARAT,3213,KABUPATEN SUBANG,BINTANG 2,0,UNIT,2014
63,32,JAWA BARAT,3213,KABUPATEN SUBANG,BINTANG 3,2,UNIT,2014
64,32,JAWA BARAT,3213,KABUPATEN SUBANG,BINTANG 4,0,UNIT,2014
65,32,JAWA BARAT,3213,KABUPATEN SUBANG,BINTANG 5,0,UNIT,2014
66,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BINTANG 1,0,UNIT,2014
67,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BINTANG 2,0,UNIT,2014
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BINTANG 3,1,UNIT,2014
69,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BINTANG 4,1,UNIT,2014
70,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BINTANG 5,0,UNIT,2014
71,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BINTANG 1,2,UNIT,2014
72,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BINTANG 2,4,UNIT,2014
73,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BINTANG 3,1,UNIT,2014
74,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BINTANG 4,0,UNIT,2014
75,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BINTANG 5,0,UNIT,2014
76,32,JAWA BARAT,3216,KABUPATEN BEKASI,BINTANG 1,0,UNIT,2014
77,32,JAWA BARAT,3216,KABUPATEN BEKASI,BINTANG 2,1,UNIT,2014
78,32,JAWA BARAT,3216,KABUPATEN BEKASI,BINTANG 3,1,UNIT,2014
79,32,JAWA BARAT,3216,KABUPATEN BEKASI,BINTANG 4,1,UNIT,2014
80,32,JAWA BARAT,3216,KABUPATEN BEKASI,BINTANG 5,1,UNIT,2014
81,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BINTANG 1,0,UNIT,2014
82,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BINTANG 2,0,UNIT,2014
83,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BINTANG 3,6,UNIT,2014
84,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BINTANG 4,2,UNIT,2014
85,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BINTANG 5,0,UNIT,2014
86,32,JAWA BARAT,3271,KOTA BOGOR,BINTANG 1,1,UNIT,2014
87,32,JAWA BARAT,3271,KOTA BOGOR,BINTANG 2,1,UNIT,2014
88,32,JAWA BARAT,3271,KOTA BOGOR,BINTANG 3,4,UNIT,2014
